question,truth,prediction_simple,prediction_rag,prediction_response_simple,prediction_response_rag,context
"What is the name of the fight song of the university whose main campus is in Lawrence, Kansas and whose branch campuses are in the Kansas City metropolitan area?",Kansas Song,1,1,"The fight song of the University of Kansas, whose main campus is in Lawrence, Kansas, is ""I'm a Jayhawk.""","The fight song of the University of Kansas, whose main campus is in Lawrence, Kansas, is ""I'm a Jayhawk.""","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.20764091610908508}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.20764091610908508}]"
"What screenwriter with credits for ""Evolution"" co-wrote a film starring Nicolas Cage and Téa Leoni?",David Weissman,1,1,"The screenwriter with credits for ""Evolution"" who co-wrote a film starring Nicolas Cage and Téa Leoni is David Diamond. He co-wrote the film ""The Family Man.""","The screenwriter with credits for ""Evolution"" who co-wrote a film starring Nicolas Cage and Téa Leoni is David Weissman. He co-wrote the film ""The Family Man.""","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.23586955666542053}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.23586955666542053}]"
What year did Guns N Roses perform a promo for a movie starring Arnold Schwarzenegger as a former New York Police detective?,1999,1,1,"Guns N' Roses performed a promo for the movie ""End of Days,"" which starred Arnold Schwarzenegger as a former New York Police detective, in 1999.","Guns N' Roses performed a promo for the movie ""End of Days,"" which starred Arnold Schwarzenegger as a former New York Police detective, in 1999.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.22536145150661469}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.22536145150661469}]"
Are Random House Tower and 888 7th Avenue both used for real estate?,no,1,1,"Yes, both Random House Tower and 888 7th Avenue are used for real estate purposes. Random House Tower, also known as the Park Imperial, is a mixed-use skyscraper that includes residential condominiums and commercial office space, including the headquarters for Penguin Random House. 888 7th Avenue is primarily an office building used for commercial real estate.","Yes, both Random House Tower and 888 7th Avenue are used for real estate purposes. Random House Tower, also known as the Park Imperial, is a mixed-use skyscraper that includes residential condominiums and commercial office space. 888 7th Avenue is primarily an office building used for commercial real estate.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.18922536075115204}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.18922536075115204}]"
The football manager who recruited David Beckham managed Manchester United during what timeframe?,from 1986 to 2013,1,1,The football manager who recruited David Beckham to Manchester United was Sir Alex Ferguson. He managed Manchester United from 1986 to 2013.,The football manager who recruited David Beckham to Manchester United was Sir Alex Ferguson. He managed Manchester United from 1986 to 2013.,"[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.14918473362922668}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.14918473362922668}]"
Brown State Fishing Lake is in a country that has a population of how many inhabitants ?,"9,984",1,1,"The context provided does not mention the country or its population. Based on my knowledge, Brown State Fishing Lake is located in the United States, specifically in Kansas. The population of the United States is approximately 331 million people.","The context provided does not mention the population of the country where Brown State Fishing Lake is located. Therefore, I will use my own knowledge to answer the question. Brown State Fishing Lake is located in the United States, which has a population of approximately 331 million inhabitants as of the latest estimates.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.21851275861263275}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.21851275861263275}]"
The Vermont Catamounts men's soccer team currently competes in a conference that was formerly known as what from 1988 to 1996?,the North Atlantic Conference,1,1,"The Vermont Catamounts men's soccer team currently competes in the America East Conference, which was formerly known as the North Atlantic Conference from 1988 to 1996.","The Vermont Catamounts men's soccer team currently competes in the America East Conference, which was formerly known as the North Atlantic Conference from 1988 to 1996.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.23246346414089203}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.23246346414089203}]"
Are Giuseppe Verdi and Ambroise Thomas both Opera composers ?,yes,1,1,"Yes, both Giuseppe Verdi and Ambroise Thomas were opera composers. Giuseppe Verdi was an Italian composer known for his operas such as ""La Traviata,"" ""Aida,"" and ""Rigoletto."" Ambroise Thomas was a French composer known for operas like ""Mignon"" and ""Hamlet.""","Yes, Giuseppe Verdi and Ambroise Thomas are both opera composers. Giuseppe Verdi was an Italian composer known for his operas such as ""La Traviata,"" ""Aida,"" and ""Rigoletto."" Ambroise Thomas was a French composer known for operas like ""Mignon"" and ""Hamlet.""","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.2121911644935608}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.2121911644935608}]"
Roger O. Egeberg was Assistant Secretary for Health and Scientific Affairs during the administration of a president that served during what years?,1969 until 1974,1,1,"Roger O. Egeberg served as Assistant Secretary for Health and Scientific Affairs during the administration of President Richard Nixon, who served from 1969 to 1974.","Roger O. Egeberg served as Assistant Secretary for Health and Scientific Affairs during the administration of President Richard Nixon, who served from 1969 to 1974.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.2371358871459961}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.2371358871459961}]"
"Which writer was from England, Henry Roth or Robert Erskine Childers?",Robert Erskine Childers DSC,1,1,Robert Erskine Childers was from England. Henry Roth was an American novelist.,Robert Erskine Childers was from England.,"[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.19200271368026733}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.19200271368026733}]"
Which other Mexican Formula One race car driver has held the podium besides the Force India driver born in 1990?,Pedro Rodríguez,1,1,The Mexican Formula One race car driver who has held the podium besides the Force India driver born in 1990 (Sergio Pérez) is Pedro Rodríguez. Pedro Rodríguez achieved multiple podium finishes during his career in the 1960s and early 1970s.,The other Mexican Formula One race car driver who has held the podium besides the Force India driver born in 1990 (Sergio Pérez) is Pedro Rodríguez. Pedro Rodríguez achieved podium finishes during his Formula One career in the 1960s and early 1970s.,"[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.16695712506771088}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.16695712506771088}]"
This singer of A Rather Blustery Day also voiced what hedgehog?,Sonic,1,1,"The singer of ""A Rather Blustery Day"" is Sterling Holloway, who also voiced the character of Mr. Stork in ""Dumbo"" and Kaa in ""The Jungle Book."" However, he did not voice a hedgehog character. If you are referring to a specific hedgehog character, it might be a misunderstanding, as Sterling Holloway is not known for voicing a hedgehog.","The singer of ""A Rather Blustery Day"" is Sterling Holloway, who also voiced the character of Mr. Stork in ""Dumbo"" and Kaa in ""The Jungle Book."" However, he did not voice a hedgehog character. If you are referring to a hedgehog character, it might be a confusion with another voice actor.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.20638303458690643}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.20638303458690643}]"
"Aside from the Apple Remote, what other device can control the program Apple Remote was originally designed to interact with?",keyboard function keys,1,1,"The Apple Remote was originally designed to interact with devices like the Apple TV and certain Mac computers. Aside from the Apple Remote, these devices can also be controlled using an iPhone, iPad, or iPod touch with the Apple TV Remote app or the Control Center's Apple TV Remote feature. Additionally, some third-party universal remotes can also be programmed to control these devices.","The Apple Remote was originally designed to interact with devices like the Apple TV and certain Mac computers. Aside from the Apple Remote, these devices can also be controlled using an iPhone, iPad, or iPod touch with the Apple TV Remote app or the Control Center's Apple TV Remote feature. Additionally, some third-party universal remotes can also be programmed to control these devices.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.23773832619190216}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.23773832619190216}]"
"Which performance act has a higher instrument to person ratio, Badly Drawn Boy or Wolf Alice? ",Badly Drawn Boy,1,1,"To determine which performance act has a higher instrument to person ratio, we need to know the number of instruments and the number of people in each act.

Badly Drawn Boy is primarily a solo artist, Damon Gough, who often performs with a band. However, as a solo act, the instrument to person ratio can be quite high if he plays multiple instruments himself.

Wolf Alice is a band consisting of four members: Ellie Rowsell, Joff Oddie, Theo Ellis, and Joel Amey. They typically play a standard rock band setup with guitars, bass, drums, and vocals.

Without specific numbers of instruments used in their performances, it's challenging to give an exact ratio. However, generally speaking, a solo artist like Badly Drawn Boy could have a higher instrument to person ratio if he uses multiple instruments himself compared to a band like Wolf Alice, where the instruments are divided among four members.","To determine which performance act has a higher instrument to person ratio, we need to know the number of instruments and the number of people in each act.

1. **Badly Drawn Boy**: Badly Drawn Boy is primarily a solo artist, Damon Gough, who typically plays multiple instruments himself. However, during performances, he may have additional musicians, but generally, it's centered around him.

2. **Wolf Alice**: Wolf Alice is a band consisting of four members. They typically use a standard band setup with guitars, bass, drums, and sometimes keyboards or other instruments.

Given this information:

- Badly Drawn Boy, as a solo act, might have a higher instrument to person ratio if he plays multiple instruments himself during a performance.
- Wolf Alice, being a four-member band, would generally have a lower instrument to person ratio as the instruments are divided among the members.

Therefore, Badly Drawn Boy likely has a higher instrument to person ratio compared to Wolf Alice.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.25179019570350647}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.25179019570350647}]"
What was the father of Kasper Schmeichel voted to be by the IFFHS in 1992?,World's Best Goalkeeper,1,1,"Peter Schmeichel, the father of Kasper Schmeichel, was voted the World's Best Goalkeeper by the International Federation of Football History & Statistics (IFFHS) in 1992.","Peter Schmeichel, the father of Kasper Schmeichel, was voted the World's Best Goalkeeper by the International Federation of Football History & Statistics (IFFHS) in 1992.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.17265333235263824}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.17265333235263824}]"
Who was the writer of These Boots Are Made for Walkin' and who died in 2007?,Barton Lee Hazlewood,1,1,"The song ""These Boots Are Made for Walkin'"" was written by Lee Hazlewood. Lee Hazlewood passed away in 2007.","The writer of ""These Boots Are Made for Walkin'"" was Lee Hazlewood, who died in 2007.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.2183326780796051}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.2183326780796051}]"
"The 2011–12 VCU Rams men's basketball team, led by third year head coach Shaka Smart, represented Virginia Commonwealth University which was founded in what year?",1838,1,1,Virginia Commonwealth University (VCU) was founded in 1838.,Virginia Commonwealth University was founded in 1838.,"[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.20580463111400604}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.20580463111400604}]"
"Are both Dictyosperma, and Huernia described as a genus?",yes,1,1,"Yes, both Dictyosperma and Huernia are described as genera. Dictyosperma is a genus of palm trees, while Huernia is a genus of succulent plants.","Yes, both Dictyosperma and Huernia are described as genera. Dictyosperma is a genus of flowering plants in the family Arecaceae, and Huernia is a genus of perennial, stem succulent plants in the family Apocynaceae.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.165294349193573}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.165294349193573}]"
Kaiser Ventures corporation was founded by an American industrialist who became known as the father of modern American shipbuilding?,Henry J. Kaiser,1,1,"Kaiser Ventures Corporation was founded by Henry J. Kaiser, an American industrialist who became known as the father of modern American shipbuilding.","Kaiser Ventures Corporation was founded by Henry J. Kaiser, an American industrialist who is indeed known as the father of modern American shipbuilding.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.21423199772834778}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.21423199772834778}]"
"What is the name for the adventure in ""Tunnels and Trolls"", a game designed by Ken St. Andre?",Arena of Khazan,1,1,"The name for the adventure in ""Tunnels and Trolls"" designed by Ken St. Andre is ""Buffalo Castle.""","The name for the adventure in ""Tunnels and Trolls"" designed by Ken St. Andre is ""Buffalo Castle.""","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.3046436309814453}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.3046436309814453}]"
"When was Poison's album ""Shut Up, Make Love"" released?",2000,1,1,"""Shut Up, Make Love"" is actually a song by Poison, not an album. It was released as a single in 2000 from their album ""Crack a Smile... and More!""","Poison's album ""Shut Up, Make Love"" is actually a song from their album ""Crack a Smile... and More!"" which was released on March 14, 2000.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.21762336790561676}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.21762336790561676}]"
"Hayden is a singer-songwriter from Canada, but where does Buck-Tick hail from?","Fujioka, Gunma",1,1,Buck-Tick is a band from Japan.,Buck-Tick is a band from Japan.,"[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.20706696808338165}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.20706696808338165}]"
Which  French ace pilot and adventurer fly L'Oiseau Blanc,Charles Eugène,1,1,"The French ace pilot and adventurer who flew L'Oiseau Blanc was Charles Nungesser, along with his navigator François Coli.","The French ace pilot and adventurer who flew L'Oiseau Blanc was Charles Nungesser, along with his navigator François Coli.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.19161850214004517}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.19161850214004517}]"
Are Freakonomics and In the Realm of the Hackers both American documentaries?,no,1,1,"""Freakonomics"" is an American documentary film based on the book of the same name by Steven D. Levitt and Stephen J. Dubner. ""In the Realm of the Hackers,"" however, is an Australian documentary that explores the world of computer hacking. Therefore, only ""Freakonomics"" is an American documentary.","No, ""Freakonomics"" is an American documentary, while ""In the Realm of the Hackers"" is an Australian documentary.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.23824699223041534}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.23824699223041534}]"
"Which band, Letters to Cleo or Screaming Trees, had more members?",Letters to Cleo,1,1,"Letters to Cleo had five members, while Screaming Trees had four members. Therefore, Letters to Cleo had more members.","Letters to Cleo had five members, while Screaming Trees had four members. Therefore, Letters to Cleo had more members.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.18491175770759583}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.18491175770759583}]"
Alexander Kerensky was defeated and destroyed by the Bolsheviks in the course of a civil war that ended when ?,October 1922,1,1,"The Russian Civil War, in which Alexander Kerensky was defeated by the Bolsheviks, effectively ended in 1922 when the Bolsheviks established control over most of the former Russian Empire, leading to the creation of the Soviet Union.","The Russian Civil War, in which Alexander Kerensky was defeated by the Bolsheviks, effectively ended in 1922 when the Bolsheviks established control over most of the former Russian Empire.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.15682251751422882}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.15682251751422882}]"
Seven Brief Lessons on Physics was written by an Italian physicist that has worked in France since what year?,2000,1,1,"The Italian physicist Carlo Rovelli, who wrote ""Seven Brief Lessons on Physics,"" has worked in France since 2000.","The context provided does not mention the year when the Italian physicist who wrote ""Seven Brief Lessons on Physics"" started working in France. However, based on my knowledge, the Italian physicist Carlo Rovelli, who wrote the book, has been working in France since 2000.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.23800310492515564}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.23800310492515564}]"
"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",World War II,1,1,"The Livesey Hall War Memorial commemorates the fallen of World War II, which had over 60 million casualties.","The Livesey Hall War Memorial commemorates the fallen of World War II, which had over 60 million casualties.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.19175861775875092}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.19175861775875092}]"
Are both Elko Regional Airport and Gerald R. Ford International Airport located in Michigan?,no,1,1,"No, both Elko Regional Airport and Gerald R. Ford International Airport are not located in Michigan. Gerald R. Ford International Airport is located in Grand Rapids, Michigan. However, Elko Regional Airport is located in Elko, Nevada.","No, both Elko Regional Airport and Gerald R. Ford International Airport are not located in Michigan. Elko Regional Airport is located in Elko, Nevada, while Gerald R. Ford International Airport is located in Grand Rapids, Michigan.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.26587557792663574}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.26587557792663574}]"
Ralph Hefferline was a psychology professor at a university that is located in what city?,New York City,1,1,"Ralph Hefferline was a psychology professor at Columbia University, which is located in New York City.","Ralph Hefferline was a psychology professor at Columbia University, which is located in New York City.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.22519730031490326}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.22519730031490326}]"
Which dog's ancestors include Gordon and Irish Setters: the Manchester Terrier or the Scotch Collie?,Scotch Collie,1,1,The Scotch Collie's ancestors include Gordon and Irish Setters.,The Scotch Collie's ancestors include Gordon and Irish Setters.,"[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.2189178317785263}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.2189178317785263}]"
Where is the company that Sachin Warrier worked for as a software engineer headquartered? ,Mumbai,1,1,"I don't have specific information about Sachin Warrier's employment details, including the company he worked for as a software engineer or its headquarters. Please provide more context or specify the company name for further assistance.","The context provided does not mention any information about the company where Sachin Warrier worked as a software engineer. Therefore, based on my knowledge, Sachin Warrier worked as a software engineer for the company SAP, which is headquartered in Walldorf, Germany.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.2038591504096985}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.2038591504096985}]"
"A Japanese manga series based on a 16 year old high school student Ichitaka Seto, is written and illustrated by someone born in what year?",1962,1,1,"The Japanese manga series you are referring to is ""I""s, which is written and illustrated by Masakazu Katsura. Masakazu Katsura was born in 1962.","The Japanese manga series you are referring to is ""I""s, which is written and illustrated by Masakazu Katsura. Masakazu Katsura was born in 1962.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.230998694896698}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.230998694896698}]"
The battle in which Giuseppe Arimondi lost his life secured what for Ethiopia?,sovereignty,1,1,"The battle in which Giuseppe Arimondi lost his life was the Battle of Adwa, which secured Ethiopian sovereignty and independence. The victory at Adwa in 1896 was a significant event as it marked a decisive defeat for the Italian forces and ensured that Ethiopia remained free from colonial rule.","The battle in which Giuseppe Arimondi lost his life was the Battle of Adwa, which secured Ethiopian sovereignty and independence. The victory at Adwa in 1896 was a significant event in Ethiopian history, as it marked a decisive defeat of the Italian forces and ensured that Ethiopia remained free from colonial rule.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.23188795149326324}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.23188795149326324}]"
Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under which United States Vice President?,Nelson Rockefeller,1,1,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under United States Vice President Spiro T. Agnew.,Alfred Balk served as the secretary of the Committee on the Employment of Minority Groups in the News Media under United States Vice President Hubert Humphrey.,"[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.24665257334709167}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.24665257334709167}]"
"A medieval fortress in Dirleton, East Lothian, Scotland borders on the south side of what coastal area?",Yellowcraig,1,1,"The medieval fortress in Dirleton, East Lothian, Scotland, borders on the south side of the Firth of Forth coastal area.","The medieval fortress in Dirleton, East Lothian, Scotland, borders on the south side of the Firth of Forth coastal area.","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.2267676144838333}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.2267676144838333}]"
Who is the writer of this song that was inspired by words on a tombstone and was the first track on the box set Back to Mono?,Phil Spector,1,1,"The song you're referring to is ""To Know Him Is to Love Him,"" written by Phil Spector. It was inspired by words on his father's tombstone and was the first track on the box set ""Back to Mono.""","The song you are referring to is ""To Know Him Is to Love Him,"" written by Phil Spector. It was inspired by words on his father's tombstone and was the first track on the box set ""Back to Mono.""","[{'text': 't: i\ns: e', 'metadata': {'title': 'doc-1', 'id': 1}, 'score': 0.20134392380714417}, {'text': 't: i\ns: e', 'metadata': {'title': 'doc-0', 'id': 0}, 'score': 0.20134392380714417}]"
